,Word,Start,End,length,time_spent,std_time_spent,pitch,amplitude2,time,post_space,speed
0,i,6.78,6.9,1,0.12,0.12,,0.191249033,6.84,0.05999999999999961,8.333333333333334
1,met,6.96,7.12,3,0.16,0.05333333333333334,,0.249741486,7.04,0.040000000000000036,18.75
2,a,7.16,7.2,1,0.04,0.04,,0.121895134,7.18,0.05999999999999961,25.0
3,traveler,7.26,7.8,8,0.54,0.0675,,0.232079423,7.529999999999999,0.10000000000000053,14.814814814814813
4,from,7.9,8.06,4,0.16,0.04,,0.09879492,7.98,0.019999999999999574,25.0
5,an,8.08,8.16,2,0.08,0.04,,0.103648297,8.120000000000001,0.0600000000000005,25.0
6,antique,8.22,8.7,7,0.48,0.06857142857142857,,0.134097874,8.46,0.040000000000000924,14.583333333333334
7,land,8.74,9.24,4,0.5,0.125,,0.128752549,8.99,0.41999999999999993,8.0
8,who,9.66,9.84,3,0.18,0.06,,0.071881269,9.75,0.08000000000000007,16.666666666666668
9,said,9.92,10.32,4,0.4,0.1,,0.213569585,10.120000000000001,0.8599999999999994,10.0
10,two,11.18,11.42,3,0.24,0.08,,0.20782547,11.3,0.09999999999999964,12.5
11,vast,11.52,12.0,4,0.48,0.12,,0.252491665,11.76,0.03999999999999915,8.333333333333334
12,and,12.04,12.12,3,0.08,0.02666666666666667,,0.095009108,12.079999999999998,0.08000000000000007,37.5
13,trunkless,12.2,12.7,9,0.5,0.05555555555555555,,0.198733239,12.45,0.0600000000000005,18.0
14,legs,12.76,13.14,4,0.38,0.095,,0.177292854,12.95,0.03999999999999915,10.526315789473685
15,of,13.18,13.26,2,0.08,0.04,,0.150944367,13.219999999999999,0.0600000000000005,25.0
16,stone,13.32,13.8,5,0.48,0.096,,0.147371383,13.56,0.05999999999999872,10.416666666666668
17,stand,13.86,14.26,5,0.4,0.08,,0.207787977,14.059999999999999,0.019999999999999574,12.5
18,in,14.28,14.34,2,0.06,0.03,,0.106904507,14.309999999999999,0.040000000000000924,33.333333333333336
19,the,14.38,14.42,3,0.04,0.013333333333333334,,0.106499553,14.4,0.0600000000000005,75.0
20,desert,14.48,14.96,6,0.48,0.08,,0.173598369,14.72,1.4800000000000004,12.5
21,near,16.44,16.68,4,0.24,0.06,,0.314596796,16.560000000000002,0.05999999999999872,16.666666666666668
22,them,16.74,17.0,4,0.26,0.065,,0.111572097,16.869999999999997,0.3000000000000007,15.384615384615383
23,on,17.3,17.48,2,0.18,0.09,,0.256636568,17.39,0.03999999999999915,11.11111111111111
24,the,17.52,17.58,3,0.06,0.02,,0.232486029,17.549999999999997,0.08000000000000185,50.0
25,sand,17.66,18.12,4,0.46,0.115,,0.2077914,17.89,0.0799999999999983,8.695652173913043
26,half,18.2,18.54,4,0.34,0.085,,0.211198203,18.369999999999997,0.08000000000000185,11.76470588235294
27,sunker,18.62,19.02,6,0.4,0.06666666666666667,,0.184977187,18.82,0.05999999999999872,15.0
28,shattered,19.08,19.5,9,0.42,0.04666666666666666,,0.241335869,19.29,0.05999999999999872,21.42857142857143
29,visions,19.56,19.98,7,0.42,0.06,,0.143860632,19.77,0.16000000000000014,16.666666666666668
30,lies,20.14,20.76,4,0.62,0.155,,0.206941287,20.450000000000003,0.33999999999999986,6.451612903225807
31,whose,21.1,21.38,5,0.28,0.05600000000000001,,0.112651636,21.240000000000002,0.060000000000002274,17.857142857142854
32,frowned,21.44,21.92,7,0.48,0.06857142857142857,,0.238940148,21.68,0.019999999999999574,14.583333333333334
33,and,21.94,22.02,3,0.08,0.02666666666666667,,0.063069791,21.98,0.03999999999999915,37.5
34,wrinkled,22.06,22.42,8,0.36,0.045,,0.124632637,22.240000000000002,0.03999999999999915,22.22222222222222
35,lip,22.46,22.76,3,0.3,0.09999999999999999,,0.10615756,22.61,0.29999999999999716,10.0
36,and,23.06,23.2,3,0.14,0.04666666666666667,,0.179307997,23.13,0.10000000000000142,21.428571428571427
37,sneer,23.3,23.7,5,0.4,0.08,,0.219111877,23.5,0.03999999999999915,12.5
38,of,23.74,23.82,2,0.08,0.04,,0.050620635,23.78,0.03999999999999915,25.0
39,cold,23.86,24.22,4,0.36,0.09,,0.170906559,24.04,0.060000000000002274,11.11111111111111
40,command,24.28,24.94,7,0.66,0.09428571428571429,,0.124512015,24.61,0.4399999999999977,10.606060606060606
41,tell,25.38,25.72,4,0.34,0.085,,0.270358358,25.549999999999997,0.060000000000002274,11.76470588235294
42,that,25.78,25.92,4,0.14,0.035,,0.232930303,25.85,0.019999999999999574,28.57142857142857
43,it,25.94,26.04,2,0.1,0.05,,0.060414243,25.990000000000002,0.060000000000002274,20.0
44,sculpture,26.1,26.62,9,0.52,0.05777777777777778,,0.172870972,26.36,0.05999999999999872,17.307692307692307
45,well,26.68,26.94,4,0.26,0.065,,0.304317669,26.810000000000002,0.019999999999999574,15.384615384615383
46,those,26.96,27.2,5,0.24,0.048,,0.131170976,27.08,0.03999999999999915,20.833333333333336
47,passions,27.24,27.78,8,0.54,0.0675,,0.127970022,27.509999999999998,0.03999999999999915,14.814814814814813
48,red,27.82,28.12,3,0.3,0.09999999999999999,,0.180215065,27.97,0.05999999999999872,10.0
49,which,28.18,28.36,5,0.18,0.036,,0.119644433,28.27,0.060000000000002274,27.77777777777778
50,yet,28.42,28.66,3,0.24,0.08,,0.136242162,28.54,0.05999999999999872,12.5
51,survive,28.72,29.42,7,0.7,0.09999999999999999,,0.134410366,29.07,0.759999999999998,10.0
52,stamped,30.18,30.68,7,0.5,0.07142857142857142,,0.167843862,30.43,0.10000000000000142,14.0
53,on,30.78,30.9,2,0.12,0.06,,0.166171765,30.84,0.060000000000002274,16.666666666666668
54,these,30.96,31.14,5,0.18,0.036,,0.071927458,31.05,0.03999999999999915,27.77777777777778
55,lifeless,31.18,31.68,8,0.5,0.0625,,0.114624912,31.43,0.05999999999999872,16.0
56,things,31.74,32.26,6,0.52,0.08666666666666667,,0.069812894,32.0,0.4200000000000017,11.538461538461538
57,the,32.68,32.78,3,0.1,0.03333333333333333,,0.18316564,32.730000000000004,0.11999999999999744,30.0
58,hand,32.9,33.32,4,0.42,0.105,,0.154300253,33.11,0.020000000000003126,9.523809523809524
59,that,33.34,33.46,4,0.12,0.03,,0.16939338,33.400000000000006,0.060000000000002274,33.333333333333336
60,mocked,33.52,33.84,6,0.32,0.05333333333333334,,0.157390629,33.68000000000001,0.03999999999999915,18.75
61,them,33.88,34.12,4,0.24,0.06,,0.085363901,34.0,0.5600000000000023,16.666666666666668
62,and,34.68,34.82,3,0.14,0.04666666666666667,,0.047018071,34.75,0.020000000000003126,21.428571428571427
63,the,34.84,34.9,3,0.06,0.02,,0.110474507,34.870000000000005,0.060000000000002274,50.0
64,heart,34.96,35.34,5,0.38,0.076,,0.194939584,35.150000000000006,0.03999999999999915,13.157894736842104
65,that,35.38,35.54,4,0.16,0.04,,0.113081523,35.46,0.0799999999999983,25.0
66,fed,35.62,36.0,3,0.38,0.12666666666666668,,0.13449344,35.81,0.7000000000000028,7.894736842105263
67,and,36.7,36.9,3,0.2,0.06666666666666667,,0.099976851,36.8,0.0799999999999983,15.0
68,on,36.98,37.22,2,0.24,0.12,,0.290079021,37.099999999999994,0.03999999999999915,8.333333333333334
69,the,37.26,37.3,3,0.04,0.013333333333333334,,0.172286689,37.28,0.060000000000002274,75.0
70,pedestal,37.36,38.0,8,0.64,0.08,,0.13761746,37.68,0.14000000000000057,12.5
71,these,38.14,38.38,5,0.24,0.048,,0.083877569,38.260000000000005,0.05999999999999517,20.833333333333336
72,words,38.44,38.84,5,0.4,0.08,,0.15169312,38.64,0.03999999999999915,12.5
73,appear,38.88,39.36,6,0.48,0.08,,0.108926614,39.120000000000005,1.2800000000000011,12.5
74,my,40.64,40.8,2,0.16,0.08,,0.296978644,40.72,0.10000000000000142,12.5
75,name,40.9,41.32,4,0.42,0.105,,0.178548866,41.11,0.240000000000002,9.523809523809524
76,is,41.56,41.74,2,0.18,0.09,,0.070746504,41.650000000000006,0.10000000000000142,11.11111111111111
77,aussie,41.84,42.22,6,0.38,0.06333333333333334,,0.16008666,42.03,0.020000000000003126,15.789473684210526
78,mandius,42.24,42.92,7,0.68,0.09714285714285716,,0.113891297,42.58,0.5599999999999952,10.294117647058822
79,king,43.48,43.74,4,0.26,0.065,,0.185174617,43.61,0.01999999999999602,15.384615384615383
80,of,43.76,43.84,2,0.08,0.04,,0.088849962,43.8,0.05999999999999517,25.0
81,kings,43.9,44.44,5,0.54,0.10800000000000001,,0.092351986,44.17,0.7199999999999989,9.25925925925926
82,look,45.16,45.46,4,0.3,0.075,,0.160060571,45.31,0.21999999999999886,13.333333333333334
83,on,45.68,45.82,2,0.14,0.07,,0.219180465,45.75,0.03999999999999915,14.285714285714285
84,my,45.86,45.98,2,0.12,0.06,,0.23576107,45.92,0.060000000000002274,16.666666666666668
85,works,46.04,46.46,5,0.42,0.08399999999999999,,0.128852844,46.25,0.17999999999999972,11.904761904761905
86,you,46.64,46.74,3,0.1,0.03333333333333333,,0.126477122,46.69,0.0799999999999983,30.0
87,mighty,46.82,47.18,6,0.36,0.06,,0.19868873,47.0,0.11999999999999744,16.666666666666668
