,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,from,40.62,40.76,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.03999999999999915
1,an,40.8,40.88,2,0.0800000000000054,0.0400000000000027,24.999999999998312,0.03999999999999915
2,antique,40.92,41.28,7,0.35999999999999943,0.051428571428571344,19.444444444444475,1.3399999999999963
3,who,42.62,42.74,3,0.12000000000000455,0.040000000000001514,24.99999999999905,0.05999999999999517
4,said,42.8,43.12,4,0.3200000000000003,0.08000000000000007,12.49999999999999,1.1000000000000014
5,to,44.22,44.4,2,0.17999999999999972,0.08999999999999986,11.111111111111128,0.259999999999998
6,fast,44.66,45.18,4,0.5200000000000031,0.13000000000000078,7.692307692307646,0.17999999999999972
7,trunk,45.36,45.74,5,0.38000000000000256,0.07600000000000051,13.157894736842017,0.14000000000000057
8,slicks,45.88,46.32,6,0.4399999999999977,0.07333333333333296,13.636363636363706,0.1599999999999966
9,stone,46.48,47.04,5,0.5600000000000023,0.11200000000000046,8.928571428571392,0.6000000000000014
10,stand,47.64,48.12,5,0.4799999999999969,0.09599999999999938,10.416666666666735,0.020000000000003126
11,in,48.14,48.22,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.020000000000003126
12,the,48.24,48.3,3,0.05999999999999517,0.01999999999999839,50.00000000000403,0.060000000000002274
13,desert,48.36,48.78,6,0.4200000000000017,0.07000000000000028,14.285714285714228,7.519999999999996
14,in,56.3,56.46,2,0.1600000000000037,0.08000000000000185,12.499999999999712,0.03999999999999915
15,the,56.5,56.54,3,0.03999999999999915,0.01333333333333305,75.0000000000016,0.0799999999999983
16,sand,56.62,57.16,4,0.5399999999999991,0.1349999999999998,7.407407407407419,0.7000000000000028
17,have,57.86,58.04,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.10000000000000142
18,sunk,58.14,58.54,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.7800000000000011
19,a,59.32,59.42,1,0.10000000000000142,0.10000000000000142,9.999999999999858,0.10000000000000142
20,shattered,59.52,59.96,9,0.4399999999999977,0.048888888888888635,20.45454545454556,0.0799999999999983
21,visit,60.04,60.4,5,0.35999999999999943,0.07199999999999988,13.88888888888891,0.020000000000003126
22,slice,60.42,61.04,5,0.6199999999999974,0.12399999999999949,8.064516129032292,1.1199999999999974
23,frown,62.16,62.64,5,0.480000000000004,0.09600000000000079,10.41666666666658,0.740000000000002
24,and,63.38,63.54,3,0.1599999999999966,0.0533333333333322,18.7500000000004,0.03999999999999915
25,wrinkled,63.58,63.92,8,0.3400000000000034,0.042500000000000426,23.529411764705646,0.03999999999999915
26,lip,63.96,64.26,3,0.30000000000000426,0.10000000000000142,9.999999999999858,0.8999999999999915
27,and,65.16,65.3,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.0799999999999983
28,sneer,65.38,65.78,5,0.4000000000000057,0.08000000000000114,12.499999999999822,0.060000000000002274
29,of,65.84,65.92,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.0799999999999983
