,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time
0,0,i,3.99,4.08,100.0,0.09,1,0.517795083576445,0.0,0.1915896366477549,4.035
1,1,met,4.08,4.26,100.0,0.18,3,0.3111358336806357,0.0,0.4341705029479969,4.17
2,2,a,4.26,4.35,100.0,0.09,1,0.517795083576445,0.0,0.2550087066673332,4.305
3,3,traveller,4.35,5.01,100.0,0.66,9,0.4029843891898843,0.1500000000000003,0.1463663322261483,4.68
4,4,from,5.16,5.37,100.0,0.21,4,0.2594710212066833,0.0,0.0545533410138822,5.265000000000001
5,5,an,5.37,5.46,100.0,0.09,2,0.207806208732731,0.0,0.1600808041780272,5.415
6,6,antique,5.46,5.97,100.0,0.51,7,0.3997040836359825,0.0,0.0646240658596732,5.715
7,7,land,5.97,6.45,100.0,0.48,4,0.7244543334722542,0.0,0.0839091314209397,6.21
8,8,who,6.45,6.6,100.0,0.15,3,0.2422494170486992,0.0,0.0362407935074076,6.525
9,9,said,6.6,7.05,100.0,0.45,4,0.6727895209983019,0.7800000000000002,0.0874277823689011,6.824999999999999
10,10,two,7.83,8.1,100.0,0.27,3,0.517795083576445,0.0,0.3612440497413773,7.965
11,11,vast,8.1,8.61,100.0,0.51,4,0.7761191459462066,0.0,0.2403000245212743,8.355
12,12,and,8.61,8.73,100.0,0.12,3,0.1733630004167628,0.0,0.1121387409920497,8.67
13,13,trunk,8.73,9.03,100.0,0.3,5,0.3111358336806357,0.0,0.0876415003312181,8.879999999999999
14,14,lists,9.03,9.24,62.0029,0.21,5,0.1871402837431501,0.011398999999999,0.0642491589673305,9.135
15,15,legs,9.251399,9.6,100.0,0.348601,4,0.4981641769967588,0.0,0.1297814556542128,9.4256995
16,16,of,9.6,9.72,100.0,0.12,2,0.3111358336806357,0.0,0.0382366702943247,9.66
17,17,stone,9.72,10.14,100.0,0.42,5,0.476463233597283,0.0,0.0986438949625809,9.93
18,18,stand,10.14,10.5,100.0,0.36,5,0.3937995336389593,0.0,0.0910501552898263,10.32
19,19,in,10.5,10.62,100.0,0.12,2,0.3111358336806357,0.0,0.0469600687306044,10.559999999999999
20,20,the,10.62,10.71,100.0,0.09,3,0.1044765837848263,0.0,0.0274584902502947,10.665
21,21,desert,10.71,11.28,100.0,0.57,6,0.5522382918924131,0.9000000000000004,0.0627570545482024,10.995000000000001
22,22,near,12.18,12.39,100.0,0.21,4,0.2594710212066833,0.0,0.2632626477228955,12.285
23,23,them,12.39,12.69,100.0,0.3,4,0.4144654586285403,0.0,0.080951809735982,12.54
24,24,on,12.69,12.81,100.0,0.12,2,0.3111358336806357,0.0,0.0622068083486077,12.75
25,25,the,12.81,12.9,100.0,0.09,3,0.1044765837848263,0.0,0.0430149532949609,12.855
26,26,sand,12.9,13.47,100.0,0.57,4,0.8794487708941111,0.4499999999999993,0.0821734408054149,13.185
27,27,half,13.92,14.25,100.0,0.33,4,0.4661302711024926,0.0,0.1224251135833196,14.085
28,28,sunk,14.25,14.64,100.0,0.39,4,0.5694598960503973,0.0,0.1136754583751844,14.445
29,29,a,14.64,14.73,100.0,0.09,1,0.517795083576445,0.0,0.0674066354171197,14.685
30,30,shattered,14.73,15.24,100.0,0.51,9,0.2881736948033235,0.0,0.1542158684067446,14.985
31,31,visage,15.24,15.72,100.0,0.48,6,0.4489086669445085,0.0,0.1207157468581411,15.48
32,32,lies,15.72,16.32,100.0,0.6,4,0.9311135833680636,0.4800000000000004,0.0999305086111339,16.02
33,33,whose,16.8,17.04,100.0,0.24,5,0.2284721337223119,0.0,0.1047873093780821,16.92
34,34,frown,17.04,17.55,100.0,0.51,5,0.6004587835347688,0.0,0.2191836720026906,17.295
35,35,and,17.55,17.67,100.0,0.12,3,0.1733630004167628,0.0,0.0508590729867813,17.61
36,36,wrinkled,17.67,18.06,100.0,0.39,8,0.2336386149697072,0.0,0.1258272294728307,17.865000000000002
37,37,lip,18.06,18.51,100.0,0.45,3,0.9311135833680636,0.2699999999999996,0.11852906587801,18.285
38,38,and,18.78,18.96,100.0,0.18,3,0.3111358336806357,0.0,0.0477584432730701,18.87
39,39,sneer,18.96,19.44,100.0,0.48,5,0.5591269335556068,0.0,0.2355719028698159,19.200000000000003
40,40,of,19.44,19.56,100.0,0.12,2,0.3111358336806357,0.0,0.0011019852479312,19.5
41,41,cold,19.56,19.95,100.0,0.39,4,0.5694598960503973,0.0,0.1705084918142015,19.755
42,42,command,19.95,20.52,100.0,0.57,7,0.4587495836062137,0.4200000000000017,0.1416961823615127,20.235
43,43,tell,20.94,21.18,100.0,0.24,4,0.3111358336806357,0.0,0.231466168124001,21.060000000000002
44,44,that,21.18,21.36,100.0,0.18,4,0.207806208732731,0.0,0.3742940893664914,21.27
45,45,it's,21.36,21.54,100.0,0.18,4,0.207806208732731,0.0,0.130889902756019,21.45
46,46,sculptor,21.54,22.11,100.0,0.57,8,0.3886330523915641,0.0,0.1186912057474757,21.825
47,47,well,22.11,22.35,100.0,0.24,4,0.3111358336806357,0.0,0.2565396890123961,22.23
48,48,those,22.35,22.59,100.0,0.24,5,0.2284721337223119,0.0,0.1278146541238009,22.47
49,49,passions,22.59,23.13,100.0,0.54,8,0.362800646154588,0.0,0.0661093088613614,22.86
50,50,read,23.13,23.43,100.0,0.3,4,0.4144654586285403,0.0,0.1579365092374096,23.28
51,51,which,23.43,23.64,100.0,0.21,5,0.1871402837431501,0.0,0.0187234836661255,23.535
52,52,he,23.64,23.76,100.0,0.12,2,0.3111358336806357,0.0,0.234162833571091,23.700000000000003
53,53,he,23.76,23.789667,83.5399,0.029667,2,0.0,0.0,0.1936771521242855,23.7748335
