,Unnamed: 0.1,Unnamed: 0.1.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time,pitch
0,0,0,i,6.39,6.51,100.0,0.12,1,0.12,0.0,0.8211121109973887,6.449999999999999,190.5359364143678
1,1,1,met,6.51,6.72,100.0,0.21,3,0.06999999999999999,0.0,0.6542309004544592,6.615,233.32360105552925
2,2,2,a,6.72,6.78,100.0,0.06,1,0.06,0.0,0.24448561627809526,6.75,220.1437224042491
3,3,3,traveller,6.78,7.14,100.0,0.36,9,0.04,0.0,0.7873971095060234,6.96,177.50249379421015
4,4,4,from,7.14,7.32,100.0,0.18,4,0.045,0.0,0.7429472509408783,7.23,132.2101838381921
5,5,5,an,7.32,7.44,100.0,0.12,2,0.06,0.0,0.8719375013185808,7.380000000000001,127.28160771109592
6,6,6,antique,7.44,7.95,100.0,0.51,7,0.07285714285714286,0.0,0.4783979798449563,7.695,173.52085653399115
7,7,7,land,7.95,8.49,100.0,0.54,4,0.135,0.0600000000000005,0.6502876259345055,8.22,134.90901273380342
8,8,8,who,8.55,8.73,100.0,0.18,3,0.06,0.0,0.434135864384643,8.64,168.0800476658217
9,9,9,said,8.73,9.09,100.0,0.36,4,0.09,0.870000000000001,0.48680193926995546,8.91,161.1710951430105
10,10,10,two,9.96,10.2,100.0,0.24,3,0.08,0.0,0.6959221093011153,10.08,233.09527628113014
11,11,11,vast,10.2,10.83,100.0,0.63,4,0.1575,0.0,0.5325519338767399,10.515,194.94746602927586
12,12,12,and,10.83,11.07,100.0,0.24,3,0.08,0.0,0.4112412966858449,10.95,148.21340062001934
13,13,13,trunk,11.07,11.34,87.6396,0.27,5,0.054000000000000006,0.0,0.5066600759233959,11.205,199.9729800828116
14,14,14,less,11.34,11.55,76.113,0.21,4,0.0525,0.0,0.5696077457980175,11.445,193.5558400559233
15,15,15,legs,11.55,11.85,100.0,0.3,4,0.075,0.0,0.6424890858992643,11.7,167.8682230408187
16,16,16,of,11.85,11.97,100.0,0.12,2,0.06,0.0,0.4563422286373091,11.91,147.92135005264166
17,17,17,stone,11.97,12.54,100.0,0.57,5,0.11399999999999999,0.0,0.5867043924404047,12.255,146.52672011311654
18,18,18,stand,12.54,12.96,100.0,0.42,5,0.08399999999999999,0.0,0.6858240827617896,12.75,145.77265825928967
19,19,19,in,12.96,13.08,100.0,0.12,2,0.06,0.0,0.6658768226641492,13.02,153.22247480113174
20,20,20,the,13.08,13.2,100.0,0.12,3,0.04,0.0,0.5290050939096236,13.14,145.99495598360926
21,21,21,desert,13.2,13.62,100.0,0.42,6,0.06999999999999999,0.5100000000000016,0.512910182786426,13.41,129.5764107767006
22,22,22,near,14.13,14.43,100.0,0.3,4,0.075,0.0,0.7719601593219443,14.28,226.96500723383767
23,23,23,them,14.43,14.67,100.0,0.24,4,0.06,0.0,0.6696307855393533,14.55,154.47016908872732
24,24,24,on,14.67,14.85,100.0,0.18,2,0.09,0.0,0.8042063185000633,14.76,174.50473177455703
25,25,25,the,14.85,14.94,100.0,0.09,3,0.03,0.0,0.5968072575279372,14.895,194.4301263398012
26,26,26,sand,14.94,15.39,100.0,0.45,4,0.1125,0.2400000000000002,0.5199221204292008,15.165,156.01934988569036
27,27,27,half,15.63,15.87,100.0,0.24,4,0.06,0.0,0.5356022246410772,15.75,183.5779508098778
