,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time
0,0,i,10.86,11.13,100.0,0.27,1,1.0,0.0,0.4785777196912402,10.995000000000001
1,1,met,11.13,11.4,100.0,0.27,3,0.25,0.0,0.4625641907188661,11.265
2,2,a,11.4,11.46,100.0,0.06,1,0.1249999999999999,0.0599999999999987,0.2177767012211195,11.43
3,3,traveller,11.52,12.06,100.0,0.54,9,0.125,0.0299999999999993,0.3380452929684903,11.79
4,4,from,12.09,12.3,100.0,0.21,4,0.0937499999999999,0.0,0.2328240532315098,12.195
5,5,an,12.3,12.45,100.0,0.15,2,0.1874999999999999,0.0,0.4114342078802576,12.375
6,6,antique,12.45,12.99,100.0,0.54,7,0.1964285714285714,0.0,0.2047716797423063,12.719999999999999
7,7,land,12.99,13.56,100.0,0.57,4,0.4687499999999999,0.0299999999999993,0.152560069361571,13.275
8,8,who,13.59,13.83,100.0,0.24,3,0.2083333333333333,0.0,0.0870243245143877,13.71
9,9,said,13.83,14.4,100.0,0.57,4,0.4687499999999999,0.3899999999999988,0.2064589099422285,14.115
10,10,two,14.79,15.06,100.0,0.27,3,0.25,0.0,0.5643365886377852,14.925
11,11,vast,15.06,15.66,100.0,0.6,4,0.4999999999999999,0.0,0.3562909310291365,15.36
12,12,and,15.66,15.838174,100.0,0.178174,3,0.1224638888888888,0.0036519999999988,0.3268701756997306,15.749087
13,13,trunk,15.841826,16.2,100.0,0.358174,5,0.1734783333333333,0.0,0.2013728364530154,16.020913
14,14,loose,16.2,16.44,75.2421,0.24,5,0.075,0.0,0.1819035480858242,16.32
15,15,legs,16.44,16.95,100.0,0.51,4,0.40625,0.0,0.2908157852676199,16.695
16,16,of,16.95,17.07,100.0,0.12,2,0.1249999999999999,0.0,0.1363420430239745,17.009999999999998
17,17,stone,17.07,17.58,100.0,0.51,5,0.3,0.120000000000001,0.3620075540506663,17.325
18,18,stand,17.7,18.24,100.0,0.54,5,0.325,0.0,0.2824550851743205,17.97
19,19,in,18.24,18.36,100.0,0.12,2,0.1249999999999999,0.0,0.2735449623933992,18.299999999999997
20,20,the,18.36,18.45,100.0,0.09,3,0.0,0.0,0.1590693204245234,18.405
