,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,from,40.62,40.76,4,0.1400000000000005,0.03500000000000013,28.571428571428466,0.03999999999999915,40.69
1,an,40.8,40.88,2,0.0800000000000054,0.0400000000000027,24.999999999998312,0.03999999999999915,40.84
2,antique,40.92,41.28,7,0.3599999999999994,0.05142857142857134,19.44444444444448,1.3399999999999963,41.1
3,who,42.62,42.74,3,0.1200000000000045,0.0400000000000015,24.999999999999062,0.05999999999999517,42.68
4,said,42.8,43.12,4,0.3200000000000003,0.08000000000000007,12.49999999999999,1.1000000000000014,42.959999999999994
5,to,44.22,44.4,2,0.1799999999999997,0.08999999999999984,11.11111111111113,0.259999999999998,44.31
6,fast,44.66,45.18,4,0.5200000000000031,0.13000000000000078,7.692307692307646,0.17999999999999972,44.92
7,trunk,45.36,45.74,5,0.3800000000000025,0.0760000000000005,13.15789473684202,0.14000000000000057,45.55
8,slicks,45.88,46.32,6,0.4399999999999977,0.07333333333333296,13.636363636363706,0.1599999999999966,46.1
9,stone,46.48,47.04,5,0.5600000000000023,0.11200000000000046,8.928571428571392,0.6000000000000014,46.76
10,stand,47.64,48.12,5,0.4799999999999969,0.09599999999999938,10.416666666666735,0.020000000000003126,47.879999999999995
11,in,48.14,48.22,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.020000000000003126,48.18
12,the,48.24,48.3,3,0.0599999999999951,0.019999999999998366,50.000000000004086,0.060000000000002274,48.269999999999996
13,desert,48.36,48.78,6,0.4200000000000017,0.07000000000000028,14.285714285714228,7.519999999999996,48.57
14,in,56.3,56.46,2,0.1600000000000037,0.08000000000000185,12.499999999999712,0.03999999999999915,56.379999999999995
15,the,56.5,56.54,3,0.0399999999999991,0.013333333333333032,75.00000000000169,0.0799999999999983,56.519999999999996
16,sand,56.62,57.16,4,0.5399999999999991,0.1349999999999998,7.407407407407419,0.7000000000000028,56.89
17,have,57.86,58.04,4,0.1799999999999997,0.04499999999999992,22.22222222222226,0.10000000000000142,57.95
18,sunk,58.14,58.54,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.7800000000000011,58.34
19,a,59.32,59.42,1,0.1000000000000014,0.1000000000000014,9.999999999999861,0.10000000000000142,59.370000000000005
20,shattered,59.52,59.96,9,0.4399999999999977,0.048888888888888635,20.45454545454556,0.0799999999999983,59.74
21,visit,60.04,60.4,5,0.3599999999999994,0.07199999999999987,13.888888888888912,0.020000000000003126,60.22
22,slice,60.42,61.04,5,0.6199999999999974,0.12399999999999949,8.064516129032292,1.1199999999999974,60.730000000000004
23,frown,62.16,62.64,5,0.480000000000004,0.09600000000000079,10.41666666666658,0.740000000000002,62.4
24,and,63.38,63.54,3,0.1599999999999966,0.0533333333333322,18.7500000000004,0.03999999999999915,63.46
25,wrinkled,63.58,63.92,8,0.3400000000000034,0.042500000000000426,23.529411764705646,0.03999999999999915,63.75
26,lip,63.96,64.26,3,0.3000000000000042,0.10000000000000141,9.99999999999986,0.8999999999999915,64.11
27,and,65.16,65.3,3,0.1400000000000005,0.046666666666666835,21.42857142857135,0.0799999999999983,65.22999999999999
28,sneer,65.38,65.78,5,0.4000000000000057,0.08000000000000114,12.499999999999822,0.060000000000002274,65.58
29,of,65.84,65.92,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.0799999999999983,65.88
30,cold,66.0,66.28,4,0.2800000000000011,0.07000000000000027,14.285714285714231,0.060000000000002274,66.14
