,word,time_spent,pred_time_spent
0,a,0.04942460317460314,0.17942210516726834
1,abated,0.52,0.4350907697218067
2,abatement,0.5399999999999996,0.5712087179422526
3,abbed,0.3000000000000002,0.36760618650388244
4,abbett,0.4000000000000003,0.4075853726076308
5,abbey,0.3588235294117648,0.39062671411831185
6,abbey's,0.4199999999999997,0.4522160958919865
7,abbeys,0.36,0.4522160958919865
8,abducting,0.5599999999999996,0.5434081931053294
9,abella,0.4599999999999991,0.437853607939936
10,abhorred,0.6200000000000001,0.477954906832846
11,abide,0.5999999999999996,0.38427350560469115
12,ability,0.5,0.4947187401073048
13,able,0.2504761904761904,0.31937847617675075
14,abnominally,0.56,0.6943132372196354
15,abnormally,0.3999999999999986,0.625391175398111
16,abode,0.4199999999999999,0.3810056194281629
17,abolished,0.7599999999999998,0.5630624552466004
18,abominable,0.8799999999999999,0.6662534204557435
19,about,0.2720000000000001,0.3966723708191592
20,above,0.3330434782608696,0.39921189822842096
21,abrided,0.2999999999999998,0.4569747214258845
22,abroad,0.5250000000000001,0.45119295317293123
23,absence,0.48000000000000054,0.49060030086733397
24,absent,0.4199999999999999,0.4224240129132645
25,absolute,0.5399999999999999,0.5467415113986351
26,absolutely,0.6749999999999994,0.638029450957232
27,absorbed,0.52,0.5342635741929032
28,abstain,0.54,0.5205633171751383
29,abstinent,0.6799999999999997,0.5677822560909518
30,abstraction,0.6799999999999997,0.7135744502866683
31,abstractly,0.6800000000000015,0.630872322108395
32,absurd,0.5499999999999994,0.429842702717287
33,absurdity,0.6400000000000006,0.589760637238794
34,abundance,0.7099999999999999,0.5971390261407405
35,abundant,0.5600000000000005,0.528962738186671
36,acceptable,0.6800000000000006,0.641909897324773
37,accepted,0.5733333333333336,0.5044674083917156
38,accident,0.5559999999999999,0.5134090185290181
39,accidentally,0.62,0.7231720898508003
40,accommodation,0.7400000000000002,0.8154151058415162
41,accompanied,0.506666666666666,0.7108999180028057
42,accompany,0.4600000000000004,0.6130549124173024
43,accompanying,0.6299999999999999,0.74045861817022
44,accomplish,0.4700000000000002,0.615894899430256
45,accomplished,0.6666666666666664,0.7011257563595077
46,accomplishing,0.5999999999999996,0.7432986051831734
47,accomplishment,0.6000000000000001,0.7845221026845108
48,accomplishments,0.9399999999999996,0.8461114844581854
49,accord,0.40000000000000036,0.420397179371234
50,accordance,0.5599999999999987,0.6485047540513278
51,according,0.41999999999999926,0.5478008851241514
52,accordingly,0.5533333333333332,0.6390888246827482
53,account,0.4399999999999999,0.4895636631747075
54,accounted,0.5099999999999998,0.5747945201039593
55,accumulated,0.7599999999999998,0.6907681926718481
56,accuracy,0.620000000000001,0.5776109310894033
57,accurate,0.47999999999999976,0.5593480642779811
58,accurately,0.6199999999999992,0.6506360038365779
59,accusation,0.6300000000000001,0.7020139511056989
60,accuse,0.5799999999999996,0.4617842898426659
61,accuser,0.4000000000000003,0.5019762506300502
62,accustomed,0.7199999999999998,0.6341051000588298
63,achieved,0.74,0.5044983015878395
64,acknowledge,0.5133333333333332,0.5910174277626468
65,acknowledged,0.5750000000000002,0.6235266827964558
66,acknowledging,0.7000000000000002,0.6656995316201213
67,acknowledgment,0.6600000000000001,0.7069230291214588
68,acquaintance,0.6559999999999999,0.7545732567622685
69,acquaintant,0.620000000000001,0.686396968808199
70,acquainted,0.4599999999999999,0.6116965390114266
71,acquiesce,0.6400000000000006,0.585265887548116
72,acquired,0.5800000000000001,0.4919572130727866
73,acre,0.3600000000000012,0.32403457447750084
74,acres,0.4200000000000004,0.38562395625117557
75,across,0.37000000000000005,0.45936778125736905
76,act,0.2733333333333337,0.26736523236345233
77,acted,0.3000000000000007,0.35259608929270414
78,acting,0.3400000000000003,0.39476893811636976
79,action,0.4120000000000001,0.4413553001003227
80,active,0.47999999999999954,0.43894629939745206
81,activity,0.5800000000000001,0.5461426320235162
82,actual,0.4700000000000002,0.450493751878107
83,actually,0.3899999999999997,0.541781691436704
84,acuteness,0.5,0.6016106787575757
85,ad,0.3199999999999998,0.21193136020107733
86,adam,0.3199999999999998,0.3333396245395187
87,add,0.2499999999999995,0.2444406152348863
88,adde,0.4199999999999999,0.29716221713032914
89,added,0.3159999999999998,0.3296714721641381
90,addibiver,0.6600000000000001,0.5758341865644414
91,addict,0.26,0.4005276737355602
92,adding,0.4000000000000003,0.37184432098780373
93,addition,0.45999999999999996,0.5228188348450252
94,additional,0.5,0.6412939666082105
95,address,0.495,0.4605329414650629
