,word,start,end,time_spent,pitch,intensity,post_pause
0,a,6.695535714285715,6.744960317460317,0.04942460317460314,154.3193210041391,66.18319702233353,0.06593253968253965
1,abated,3.36,3.88,0.52,54.828541631948994,63.4330725888824,0.5600000000000005
2,abatement,7.27,7.81,0.5399999999999996,95.3677183006829,62.18910052486828,0.35000000000000075
3,abbed,3.44,3.74,0.3000000000000002,164.7362391573646,65.27080398591816,0.0999999999999996
4,abbett,15.04,15.44,0.4000000000000003,49.99477008777789,58.99899324011878,
5,abbey,5.8870588235294115,6.245882352941177,0.3588235294117648,158.93368717180232,63.576145925442745,0.2599999999999999
6,abbey's,1.84,2.26,0.4199999999999997,158.54201045636614,62.43620385841031,0.06
7,abbeys,0.82,1.18,0.36,162.35301858486744,62.52528986043795,0.06
8,abducting,2.72,3.28,0.5599999999999996,160.4771910752752,59.96883857635477,0.04
9,abella,14.14,14.6,0.4599999999999991,180.01184269065607,69.64393805624026,
10,abhorred,3.42,4.04,0.6200000000000001,68.82703878403848,56.51013463944854,1.08
11,abide,13.0,13.6,0.5999999999999996,99.7411589391933,66.17404016937131,0.2400000000000002
12,ability,2.82,3.32,0.5,199.09199266978425,69.40280451787082,0.1
13,able,6.923809523809524,7.174285714285714,0.2504761904761904,161.6967215457283,66.74360822222896,0.04285714285714283
14,abnominally,3.14,3.7,0.56,104.25495674170494,69.78185662804627,0.0799999999999996
15,abnormally,12.88,13.28,0.3999999999999986,113.18267660608512,70.36174956488696,0.0600000000000005
16,abode,3.04,3.46,0.4199999999999999,200.72560632767744,70.32722124868732,0.02
17,abolished,13.26,14.02,0.7599999999999998,20.690296885671824,54.707182125181845,
18,abominable,4.85,5.73,0.8799999999999999,199.07143848351245,65.16364140590147,0.06000000000000005
19,about,6.568,6.84,0.2720000000000001,124.90640033454788,65.54921796317144,0.08235294117647059
20,above,7.942608695652174,8.275652173913043,0.3330434782608696,129.51664358842615,64.5112588989834,0.11900000000000015
21,abrided,4.62,4.92,0.2999999999999998,112.3723554739114,58.77004527312435,0.04
22,abroad,7.26,7.785,0.5250000000000001,120.83904423098197,67.66036849559514,0.545
23,absence,5.96,6.44,0.48000000000000054,115.20765225818599,62.9033771579327,0.0299999999999995
24,absent,12.94,13.36,0.4199999999999999,81.81111744200297,63.13066554217482,0.0200000000000013
25,absolute,7.505,8.045,0.5399999999999999,164.1868167301069,68.37117574363734,0.055000000000000326
26,absolutely,9.615,10.29,0.6749999999999994,152.3397332182024,68.96756993550395,0.07000000000000026
27,absorbed,7.84,8.36,0.52,129.2486106634914,61.46514396909437,0.01999999999999975
28,abstain,3.42,3.96,0.54,54.44486498801568,61.30038745573415,0.08
29,abstinent,13.96,14.64,0.6799999999999997,44.26265420972256,61.39877559539224,
30,abstraction,4.98,5.66,0.6799999999999997,107.920762646916,57.877192046703975,0.04
31,abstractly,13.54,14.22,0.6800000000000015,36.594239942065,59.64463911607736,0.1399999999999988
