,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space
0,word,0.0,0.24,90.926,0.24,4,0.06,0.0
1,count,0.24,0.75,90.926,0.51,5,0.10200000000000001,0.44999999999999996
2,in,1.2,1.47,100.0,0.27,2,0.135,0.06000000000000005
3,a,1.53,1.62,100.0,0.09,1,0.09,0.0
4,given,1.62,2.01,100.0,0.3899999999999997,5,0.07799999999999993,0.0
5,text,2.01,2.43,100.0,0.4200000000000004,4,0.1050000000000001,0.48
6,next,2.91,3.198098,56.6227,0.2880979999999997,4,0.07202449999999992,0.0
7,slot,3.198098,3.54,100.0,0.3419020000000001,4,0.08547550000000002,1.29
8,so,4.83,5.04,100.0,0.2099999999999999,2,0.10499999999999995,0.0
9,why,5.04,5.4,100.0,0.3600000000000003,3,0.1200000000000001,0.0
10,shouldn't,5.4,5.82,100.0,0.4199999999999999,9,0.046666666666666655,0.0
11,it,5.82,5.88,69.9457,0.0599999999999996,2,0.0299999999999998,0.053143000000000384
12,work,5.933143,6.18,100.0,0.2468569999999994,4,0.06171424999999985,0.27000000000000046
13,well,6.45,6.63,100.0,0.1799999999999997,4,0.04499999999999992,0.0
14,here's,6.63,6.9,100.0,0.2700000000000004,6,0.04500000000000007,0.0
15,this,6.9,7.08,100.0,0.1799999999999997,4,0.04499999999999992,0.0
16,is,7.08,7.2,100.0,0.1200000000000001,2,0.06000000000000005,0.0
17,the,7.2,7.29,79.3097,0.0899999999999998,3,0.029999999999999933,0.0
18,funny,7.29,7.53,100.0,0.2400000000000002,5,0.04800000000000004,0.0
19,thing,7.53,7.74,100.0,0.2099999999999999,5,0.04199999999999998,0.02999999999999936
20,if,7.77,7.92,100.0,0.1500000000000003,2,0.07500000000000015,0.0
21,you,7.92,8.07,100.0,0.1500000000000003,3,0.0500000000000001,0.0
22,sit,8.07,8.43,91.7215,0.3599999999999994,3,0.11999999999999979,0.08999999999999986
23,and,8.52,8.76,100.0,0.2400000000000002,3,0.08000000000000007,0.120000000000001
24,try,8.88,9.03,46.7992,0.1499999999999985,3,0.049999999999999496,0.0
25,to,9.03,9.155257,46.7992,0.1252570000000012,2,0.0626285000000006,0.05474300000000021
26,try,9.21,9.39,91.7998,0.1799999999999997,3,0.059999999999999894,0.0
27,to,9.39,9.51,100.0,0.1199999999999992,2,0.0599999999999996,0.0
28,think,9.51,9.75,100.0,0.2400000000000002,5,0.04800000000000004,0.0
29,about,9.75,10.05,100.0,0.3000000000000007,5,0.060000000000000143,0.0
30,why,10.05,10.29,100.0,0.2399999999999984,3,0.07999999999999947,0.0
31,these,10.29,10.53,100.0,0.2400000000000002,5,0.04800000000000004,0.030000000000001137
32,high,10.56,10.74,29.5667,0.1799999999999997,4,0.04499999999999992,0.0020959999999998757
33,clouds,10.742096,11.22,100.0,0.4779040000000005,6,0.07965066666666674,0.08999999999999986
34,were,11.31,11.52,67.5189,0.209999999999999,4,0.05249999999999975,0.030000000000001137
35,clouds,11.55,11.88,100.0,0.33,6,0.055,0.0
36,like,11.88,12.06,100.0,0.1799999999999997,4,0.04499999999999992,0.0
37,this,12.06,12.27,100.0,0.209999999999999,4,0.05249999999999975,0.39000000000000057
38,why,12.66,13.02,100.0,0.3599999999999994,3,0.11999999999999979,0.0
39,they're,13.02,13.17,84.8794,0.1500000000000003,7,0.02142857142857147,0.0
40,bad,13.17,13.56,100.0,0.3900000000000005,3,0.13000000000000017,0.29999999999999893
41,it's,13.86,14.07,100.0,0.2100000000000008,4,0.0525000000000002,0.0
42,actually,14.07,14.46,100.0,0.3900000000000005,8,0.048750000000000064,0.0
43,very,14.46,15.0,100.0,0.5399999999999991,4,0.1349999999999998,0.0
44,very,15.0,15.39,100.0,0.3900000000000005,4,0.09750000000000013,0.02999999999999936
45,easy,15.42,15.72,100.0,0.3000000000000007,4,0.07500000000000018,0.05999999999999872
46,to,15.78,15.9,100.0,0.120000000000001,2,0.0600000000000005,0.0
47,come,15.9,16.11,100.0,0.209999999999999,4,0.05249999999999975,0.0
48,up,16.11,16.26,100.0,0.1500000000000021,2,0.07500000000000105,0.0
49,with,16.26,16.41,100.0,0.1499999999999985,4,0.037499999999999624,0.0
50,reasons,16.41,16.92,100.0,0.5100000000000016,7,0.07285714285714308,0.029999999999997584
51,you,16.95,17.1,100.0,0.1500000000000021,3,0.050000000000000704,0.0
52,know,17.1,17.28,100.0,0.1799999999999997,4,0.04499999999999992,0.41999999999999815
53,where,17.7,18.0,100.0,0.3000000000000007,5,0.060000000000000143,0.0
54,do,18.0,18.12,100.0,0.120000000000001,2,0.0600000000000005,0.0
55,you,18.12,18.24,100.0,0.1199999999999974,3,0.039999999999999133,0.0
56,look,18.24,18.45,100.0,0.2100000000000008,4,0.0525000000000002,0.0
57,first,18.45,18.96,100.0,0.5100000000000016,5,0.10200000000000031,0.0
58,it's,18.96,19.08,94.788,0.1199999999999974,4,0.02999999999999935,0.0
59,all,19.08,19.26,100.0,0.1800000000000032,3,0.06000000000000107,0.0
60,a,19.26,19.35,100.0,0.0899999999999998,1,0.0899999999999998,0.0
61,big,19.35,19.62,100.0,0.2699999999999996,3,0.08999999999999986,0.11999999999999744
62,jumble,19.74,20.46,100.0,0.7200000000000024,6,0.1200000000000004,0.0
63,the,20.46,20.61,100.0,0.1499999999999985,3,0.049999999999999496,0.0
64,long,20.61,21.03,100.0,0.4200000000000017,4,0.10500000000000043,0.0
65,words,21.03,21.36,100.0,0.3299999999999983,5,0.06599999999999966,0.0
66,get,21.36,21.57,100.0,0.2100000000000008,3,0.07000000000000027,0.0
67,more,21.57,21.81,100.0,0.2399999999999984,4,0.0599999999999996,0.0
68,weight,21.81,22.05,100.0,0.240000000000002,6,0.040000000000000334,0.0
69,than,22.05,22.229533,85.69109999999999,0.1795329999999992,4,0.0448832499999998,0.030467000000001576
70,short,22.26,22.65,100.0,0.389999999999997,5,0.0779999999999994,0.0
71,words,22.65,23.01,100.0,0.360000000000003,5,0.07200000000000059,0.0
72,which,23.01,23.25,100.0,0.2399999999999984,5,0.04799999999999968,0.0
73,clearly,23.25,23.7,100.0,0.4499999999999993,7,0.06428571428571418,0.0
74,is,23.7,23.85,100.0,0.1500000000000021,2,0.07500000000000105,0.0
75,just,23.85,24.03,100.0,0.1799999999999997,4,0.04499999999999992,0.0
76,completely,24.03,24.57,100.0,0.5399999999999991,10,0.053999999999999916,0.6600000000000001
77,justified,25.23,26.1,100.0,0.870000000000001,9,0.09666666666666678,0.3063849999999988
78,you,26.406385,26.67,100.0,0.2636150000000015,3,0.08787166666666717,0.0
79,can,26.67,26.85,46.3961,0.1799999999999997,3,0.059999999999999894,0.00865699999999947
80,look,26.858657,27.03,100.0,0.1713430000000002,4,0.04283575000000005,0.0
81,through,27.03,27.18,100.0,0.1499999999999985,7,0.021428571428571214,0.0
82,this,27.18,27.39,100.0,0.2100000000000008,4,0.0525000000000002,0.0
83,list,27.39,27.75,100.0,0.3599999999999994,4,0.08999999999999984,0.0
84,and,27.75,28.02,100.0,0.2699999999999996,3,0.08999999999999986,0.870000000000001
85,you,28.89,29.04,100.0,0.1499999999999985,3,0.049999999999999496,0.0
86,will,29.04,29.16,100.0,0.120000000000001,4,0.03000000000000025,0.0
87,find,29.16,29.43,100.0,0.2699999999999996,4,0.0674999999999999,0.0
88,all,29.43,29.7,100.0,0.2699999999999996,3,0.08999999999999986,0.0
89,sorts,29.7,29.91,100.0,0.2100000000000008,5,0.04200000000000016,0.0
90,of,29.91,30.0,100.0,0.0899999999999998,2,0.0449999999999999,0.0
91,reasons,30.0,30.3,100.0,0.3000000000000007,7,0.04285714285714296,0.029999999999997584
92,to,30.33,30.42,100.0,0.0900000000000034,2,0.0450000000000017,0.0
93,be,30.42,30.6,100.0,0.1799999999999997,2,0.08999999999999984,0.0
94,highly,30.6,31.08,100.0,0.4799999999999969,6,0.07999999999999947,0.0
95,suspicious,31.08,32.01,100.0,0.9299999999999996,10,0.09299999999999996,0.8100000000000023
96,and,32.82,32.97,100.0,0.1499999999999985,3,0.049999999999999496,0.0
97,in,32.97,33.06,100.0,0.0900000000000034,2,0.0450000000000017,0.0
98,fact,33.06,33.24,100.0,0.1799999999999997,4,0.04499999999999992,0.0
99,i,33.24,33.300963,100.0,0.0609630000000009,1,0.0609630000000009,0.0
100,would,33.300963,33.39,97.2963,0.0890369999999975,5,0.017807399999999498,0.0
101,leave,33.39,33.66,100.0,0.269999999999996,5,0.0539999999999992,0.0
102,as,33.66,33.81,100.0,0.1500000000000056,2,0.0750000000000028,0.0
103,an,33.81,33.93,100.0,0.1199999999999974,2,0.0599999999999987,0.0
104,exercise,33.93,34.53,100.0,0.6000000000000014,8,0.07500000000000018,0.0
105,for,34.53,34.65,100.0,0.1199999999999974,3,0.039999999999999133,0.0
106,the,34.65,34.74,100.0,0.0900000000000034,3,0.030000000000001133,0.0
107,listener,34.74,35.22,100.0,0.4799999999999969,8,0.05999999999999961,0.14999999999999858
108,to,35.37,35.52,100.0,0.1500000000000056,2,0.0750000000000028,0.0
