,Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,time
0,0,we,1.3,1.36,0.06,4.54,0,2,0.0441176470588235,0.4519319180177625,1.33
1,1,the,5.9,5.9,0.0,8.86,0,3,0.0,,5.9
2,2,the,14.76,14.76,0.0,0.5400000000000009,0,3,0.0,,14.76
3,3,so,15.3,15.42,0.1199999999999992,0.0999999999999996,1,2,0.0882352941176465,0.3493724909288483,15.36
4,4,today,15.52,15.76,0.2400000000000002,0.0400000000000009,1,5,0.0705882352941177,0.3828352803651811,15.64
5,5,we,15.8,15.86,0.0599999999999987,0.0600000000000005,1,2,0.0441176470588225,0.2957163699330559,15.83
6,6,talked,15.92,16.18,0.2599999999999998,0.0,1,6,0.0637254901960784,0.1344693561292272,16.05
7,7,about,16.18,16.4,0.2199999999999988,0.0800000000000018,1,5,0.0647058823529408,0.1982698682629044,16.29
8,8,augmenting,16.48,17.18,0.6999999999999993,0.1999999999999993,1,10,0.1029411764705881,0.1531179374677755,16.83
9,9,machine,17.38,17.9,0.5199999999999996,0.0400000000000027,1,7,0.1092436974789915,0.1546473351692761,17.64
10,10,and,17.94,18.06,0.1199999999999974,0.0400000000000027,1,3,0.0588235294117634,0.117154753668083,18.0
11,11,human,18.1,18.44,0.3399999999999998,0.0999999999999978,1,5,0.0999999999999999,0.130838307491637,18.270000000000003
12,12,intelligence,18.54,19.26,0.7200000000000024,0.2799999999999976,1,12,0.0882352941176473,0.0769102287472783,18.9
13,13,with,19.54,19.74,0.1999999999999993,0.0600000000000022,1,4,0.0735294117647056,0.0879956872096022,19.64
14,14,data,19.8,20.02,0.2199999999999988,0.0399999999999991,1,4,0.080882352941176,0.1783542826486367,19.91
15,15,visualization,20.06,20.8,0.740000000000002,0.1400000000000005,1,13,0.0837104072398192,0.0585860664514239,20.43
16,16,and,20.94,21.88,0.9399999999999976,0.0600000000000022,1,3,0.4607843137254891,0.1170029092882251,21.41
17,17,the,21.94,22.0,0.0599999999999987,0.1000000000000014,1,3,0.0294117647058817,0.1997248807808424,21.97
18,18,interesting,22.1,22.54,0.4399999999999977,0.0399999999999991,1,11,0.0588235294117644,0.1848307321858597,22.32
19,19,thing,22.58,22.94,0.360000000000003,0.259999999999998,1,5,0.1058823529411773,0.160237603476418,22.759999999999998
20,20,is,23.2,23.38,0.1799999999999997,0.0199999999999995,1,2,0.1323529411764704,0.1270447975912156,23.29
21,21,that,23.4,23.6,0.2000000000000028,0.1600000000000001,1,4,0.0735294117647069,0.162839131530829,23.5
22,22,data,23.76,23.96,0.1999999999999993,0.0199999999999995,1,4,0.0735294117647056,0.2697171442052557,23.86
23,23,visualisation,23.98,24.48,0.5,0.0399999999999991,1,13,0.0565610859728507,0.1504592337959893,24.23
24,24,is,24.52,24.6,0.0800000000000018,0.0399999999999991,1,2,0.058823529411766,0.1335885889124771,24.560000000000002
25,25,so,24.64,24.76,0.120000000000001,0.1600000000000001,1,2,0.0882352941176478,0.1533619742436687,24.700000000000003
26,26,interdisciplinary,24.92,25.96,1.0399999999999991,0.5799999999999983,1,17,0.0899653979238754,0.1166329436198683,25.44
27,27,that,26.54,26.88,0.3399999999999998,0.7200000000000024,0,4,0.1249999999999999,0.2116143815368364,26.71
28,28,we,27.6,27.74,0.139999999999997,0.2000000000000028,0,2,0.102941176470586,0.1912617324902637,27.67
29,29,talked,27.94,28.46,0.5199999999999996,0.0199999999999995,1,6,0.1274509803921568,0.0897324792985775,28.200000000000003
30,30,about,28.48,28.9,0.4199999999999981,0.0800000000000018,1,5,0.1235294117647053,0.162180945386866,28.689999999999998
31,31,a,28.98,29.04,0.0599999999999987,0.120000000000001,1,1,0.0882352941176451,0.1213515817745327,29.009999999999998
32,32,range,29.16,29.7,0.5399999999999991,0.0600000000000022,1,5,0.1588235294117645,0.1983147704723062,29.43
33,33,of,29.76,29.92,0.1600000000000001,0.1999999999999993,1,2,0.1176470588235295,0.1197136363605764,29.840000000000003
34,34,projects,30.12,30.78,0.6600000000000001,0.0199999999999995,1,8,0.1213235294117647,0.0771599814701933,30.450000000000003
35,35,and,30.8,30.94,0.1400000000000005,0.139999999999997,1,3,0.0686274509803924,0.1575070972338377,30.87
36,36,of,31.08,31.26,0.1800000000000032,0.6199999999999974,1,2,0.132352941176473,0.1419765962807948,31.17
37,37,officialisation,31.88,32.56,0.6800000000000033,0.0399999999999991,1,15,0.066666666666667,0.1360737275831667,32.22
38,38,investigations,32.6,33.32,0.7199999999999989,0.0399999999999991,1,14,0.0756302521008402,0.129485586260847,32.96
39,39,if,33.36,33.48,0.1199999999999974,0.0200000000000031,1,2,0.0882352941176451,0.08986568306136,33.42
