,Unnamed: 0.1,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,time,post_space,pitch
0,0,tonight,1.42,1.68,0.26,0.08,2,7,0.037142857142857144,0.5579701910915937,1.5499999999999998,0.08000000000000007,214.69556662583165
1,1,president,1.76,2.18,0.4200000000000001,0.04,2,9,0.046666666666666676,0.4509805276423905,1.9700000000000002,0.040000000000000036,177.43846424796862
2,2,byden,2.22,2.52,0.2999999999999998,0.06,2,5,0.05999999999999996,0.5043938202335982,2.37,0.06000000000000005,191.81347332773237
3,3,facing,2.58,2.94,0.3599999999999999,0.08,2,6,0.05999999999999998,0.44553700180898437,2.76,0.08000000000000007,176.39471885282148
4,4,back,3.02,3.28,0.2599999999999998,0.0,2,4,0.06499999999999995,0.46039822929491786,3.15,0.0,184.27553940336256
5,5,last,3.28,3.6,0.3200000000000003,0.02,2,4,0.08000000000000007,0.5211083104856552,3.44,0.020000000000000018,171.64120199385928
6,6,with,3.62,3.74,0.1200000000000001,0.0599999999999996,2,4,0.030000000000000027,0.47578787487443236,3.68,0.05999999999999961,149.67868513998368
7,7,ukraine,3.8,4.44,0.6400000000000006,0.0199999999999995,2,7,0.09142857142857151,0.5288808508860467,4.12,0.019999999999999574,142.3067257494741
8,8,on,4.46,4.52,0.0599999999999996,0.04,2,2,0.0299999999999998,0.4854501972499022,4.49,0.040000000000000036,137.6143015907466
9,9,the,4.56,4.6,0.04,0.0600000000000005,2,3,0.013333333333333334,0.6955382422808793,4.58,0.0600000000000005,128.54529734761417
10,10,break,4.66,4.94,0.2800000000000002,0.0199999999999995,2,5,0.056000000000000036,0.53982089470245,4.800000000000001,0.019999999999999574,142.79726640234998
11,11,of,4.96,5.0,0.04,0.04,2,2,0.02,0.31777010984667087,4.98,0.040000000000000036,135.62120018835222
12,12,a,5.04,5.08,0.04,0.04,2,1,0.04,0.4710214858229815,5.0600000000000005,0.040000000000000036,145.7080296156223
13,13,potential,5.12,5.62,0.5,0.0599999999999996,2,9,0.05555555555555555,0.49277569880886296,5.37,0.05999999999999961,155.26534774400545
14,14,russian,5.68,6.08,0.4000000000000003,0.0599999999999996,2,7,0.05714285714285718,0.5787451697794787,5.88,0.05999999999999961,163.28084725487042
15,15,invasion,6.14,6.7,0.5600000000000005,0.2800000000000002,2,8,0.07000000000000006,0.7594302204796302,6.42,0.28000000000000025,162.61727628730557
16,16,the,6.98,7.02,0.0399999999999991,0.04,2,3,0.013333333333333032,0.7776072127752646,7.0,0.040000000000000036,
17,17,president,7.06,7.48,0.4200000000000008,0.0599999999999996,2,9,0.04666666666666676,0.6492198292318166,7.27,0.05999999999999961,158.61561119533246
18,18,clarifying,7.54,8.14,0.6000000000000005,0.0599999999999987,2,10,0.06000000000000005,0.5837128393072164,7.84,0.05999999999999872,164.7227977753027
19,19,comments,8.2,8.68,0.4800000000000004,0.0199999999999995,2,8,0.06000000000000005,0.5989589848683297,8.44,0.019999999999999574,139.07291919420715
20,20,he,8.7,8.76,0.0600000000000005,0.0600000000000005,2,2,0.03000000000000025,0.6767837930204371,8.73,0.0600000000000005,142.59788971026785
21,21,made,8.82,9.04,0.2199999999999988,0.0200000000000013,2,4,0.0549999999999997,0.6294614449322178,8.93,0.02000000000000135,139.77931525985818
22,22,it,9.06,9.14,0.08,0.0199999999999995,2,2,0.04,0.5398568999791368,9.100000000000001,0.019999999999999574,131.01458432287237
23,23,as,9.16,9.26,0.0999999999999996,0.08,2,2,0.0499999999999998,0.37109310233631476,9.21,0.08000000000000007,115.1454952063756
24,24,news,9.34,9.58,0.2400000000000002,0.0399999999999991,2,4,0.06000000000000005,0.5079854169226912,9.46,0.03999999999999915,145.28338376426413
25,25,conference,9.62,10.06,0.4400000000000013,0.0199999999999995,2,10,0.04400000000000013,0.48848297884246233,9.84,0.019999999999999574,117.99080548604616
26,26,at,10.08,10.16,0.08,0.0600000000000005,2,2,0.04,0.44206256580601244,10.120000000000001,0.0600000000000005,101.84406160786743
27,27,critics,10.22,10.58,0.3599999999999994,0.0,2,7,0.05142857142857134,0.5250089504231064,10.4,0.0,130.28377259506573
28,28,say,10.58,10.72,0.1400000000000005,0.1199999999999992,2,3,0.046666666666666835,0.6129642060212136,10.65,0.11999999999999922,123.47324429538767
29,29,open,10.84,11.18,0.3399999999999998,0.0199999999999995,2,4,0.08499999999999995,0.608140333547111,11.01,0.019999999999999574,200.57880155866883
30,30,the,11.2,11.26,0.0600000000000005,0.0600000000000005,2,3,0.020000000000000167,0.6709517090963716,11.23,0.0600000000000005,178.66934994851133
31,31,door,11.32,11.62,0.2999999999999989,0.0400000000000009,2,4,0.07499999999999972,0.5852693137302617,11.469999999999999,0.040000000000000924,122.94959004740367
32,32,for,11.66,11.78,0.1199999999999992,0.08,2,3,0.03999999999999974,0.6985612662341966,11.719999999999999,0.08000000000000007,137.6055672977658
33,33,russia,11.86,12.24,0.3800000000000008,0.0600000000000005,2,6,0.06333333333333346,0.5785785807789079,12.05,0.0600000000000005,138.31465432773678
34,34,to,12.3,12.42,0.1199999999999992,0.0999999999999996,2,2,0.0599999999999996,0.6498214657369077,12.36,0.09999999999999964,142.68922099641063
35,35,invade,12.52,13.02,0.5,0.4400000000000013,2,6,0.08333333333333333,0.5427579134005578,12.77,0.4400000000000013,149.18878312860184
36,36,today,13.46,13.68,0.2199999999999988,0.0400000000000009,2,5,0.04399999999999976,0.7543441783791499,13.57,0.040000000000000924,124.93330842430993
37,37,the,13.72,13.78,0.0599999999999987,0.0400000000000009,2,3,0.019999999999999567,0.45834273070258885,13.75,0.040000000000000924,110.63039686839988
