,Word,Start,End,length,time_spent,std_time_spent,post_space
0,yeah,0.28,0.28,4,0.0,0.0,2.7199999999999998
1,the,3.0,3.06,3,0.06000000000000005,0.020000000000000018,1.4999999999999996
2,mm,4.56,4.58,2,0.020000000000000462,0.010000000000000231,4.48
3,the,9.06,9.06,3,0.0,0.0,5.639999999999999
4,so,14.7,14.82,2,0.120000000000001,0.0600000000000005,0.0600000000000005
5,how,14.88,14.98,3,0.09999999999999964,0.033333333333333215,0.019999999999999574
6,do,15.0,15.06,2,0.0600000000000005,0.03000000000000025,0.03999999999999915
7,we,15.1,15.16,2,0.0600000000000005,0.03000000000000025,0.08000000000000007
8,learn,15.24,15.6,5,0.35999999999999943,0.07199999999999988,1.160000000000002
9,and,16.76,16.98,3,0.21999999999999886,0.07333333333333296,0.28000000000000114
10,why,17.26,17.46,3,0.1999999999999993,0.06666666666666643,0.03999999999999915
11,does,17.5,17.6,4,0.10000000000000142,0.025000000000000355,0.019999999999999574
12,some,17.62,17.76,4,0.14000000000000057,0.03500000000000014,0.019999999999999574
13,of,17.78,17.84,2,0.05999999999999872,0.02999999999999936,0.05999999999999872
14,us,17.9,18.0,2,0.10000000000000142,0.05000000000000071,0.0799999999999983
15,learn,18.08,18.28,5,0.20000000000000284,0.04000000000000057,0.05999999999999872
16,things,18.34,18.68,6,0.33999999999999986,0.05666666666666664,0.21999999999999886
17,more,18.9,19.1,4,0.20000000000000284,0.05000000000000071,0.05999999999999872
18,easily,19.16,19.56,6,0.3999999999999986,0.06666666666666643,0.08000000000000185
19,than,19.64,19.8,4,0.16000000000000014,0.040000000000000036,0.17999999999999972
20,others,19.98,20.46,6,0.4800000000000004,0.08000000000000007,1.1199999999999974
21,so,21.58,21.72,2,0.14000000000000057,0.07000000000000028,0.5
22,as,22.22,22.36,2,0.14000000000000057,0.07000000000000028,0.03999999999999915
23,i,22.4,22.46,1,0.060000000000002274,0.060000000000002274,0.33999999999999986
24,was,22.8,22.92,3,0.120000000000001,0.040000000000000334,0.03999999999999915
25,mentioned,22.96,23.34,9,0.379999999999999,0.04222222222222211,0.03999999999999915
26,i'm,23.38,23.52,3,0.14000000000000057,0.046666666666666856,0.08000000000000185
27,doctor,23.6,23.9,6,0.29999999999999716,0.049999999999999524,0.020000000000003126
28,larboy,23.92,24.38,6,0.4599999999999973,0.07666666666666622,0.10000000000000142
29,i'm,24.48,24.62,3,0.14000000000000057,0.046666666666666856,0.0
30,a,24.62,24.7,1,0.0799999999999983,0.0799999999999983,0.16000000000000014
31,brain,24.86,25.14,5,0.28000000000000114,0.05600000000000023,0.019999999999999574
32,researcher,25.16,25.66,10,0.5,0.05,0.0799999999999983
33,here,25.74,25.92,4,0.18000000000000327,0.04500000000000082,0.03999999999999915
34,at,25.96,26.02,2,0.05999999999999872,0.02999999999999936,0.019999999999999574
35,the,26.04,26.08,3,0.03999999999999915,0.01333333333333305,0.0400000000000027
36,university,26.12,26.62,10,0.5,0.05,0.05999999999999872
37,of,26.68,26.78,2,0.10000000000000142,0.05000000000000071,0.0799999999999983
38,british,26.86,27.16,7,0.3000000000000007,0.04285714285714296,0.03999999999999915
39,colombia,27.2,27.74,8,0.5399999999999991,0.0674999999999999,0.6600000000000001
40,these,28.4,28.56,5,0.16000000000000014,0.03200000000000003,0.019999999999999574
41,are,28.58,28.62,3,0.0400000000000027,0.013333333333334233,0.019999999999999574
42,the,28.64,28.7,3,0.05999999999999872,0.019999999999999574,0.08000000000000185
43,questions,28.78,29.3,9,0.5199999999999996,0.057777777777777733,0.03999999999999915
44,that,29.34,29.5,4,0.16000000000000014,0.040000000000000036,0.14000000000000057
45,fascinate,29.64,30.36,9,0.7199999999999989,0.07999999999999988,0.060000000000002274
46,me,30.42,30.58,2,0.1599999999999966,0.0799999999999983,5.140000000000001
47,so,35.72,35.84,2,0.12000000000000455,0.060000000000002274,0.05999999999999517
48,brain,35.9,36.18,5,0.28000000000000114,0.05600000000000023,0.020000000000003126
49,research,36.2,36.76,8,0.5599999999999952,0.0699999999999994,0.060000000000002274
50,is,36.82,36.94,2,0.11999999999999744,0.05999999999999872,0.12000000000000455
51,one,37.06,37.24,3,0.17999999999999972,0.05999999999999991,0.0
52,of,37.24,37.3,2,0.05999999999999517,0.029999999999997584,0.04000000000000625
53,the,37.34,37.4,3,0.05999999999999517,0.01999999999999839,0.060000000000002274
54,great,37.46,37.7,5,0.240000000000002,0.048000000000000397,0.05999999999999517
55,frontiers,37.76,38.28,9,0.5200000000000031,0.05777777777777812,0.03999999999999915
56,in,38.32,38.42,2,0.10000000000000142,0.05000000000000071,0.29999999999999716
57,the,38.72,38.78,3,0.060000000000002274,0.020000000000000757,0.03999999999999915
58,understanding,38.82,39.32,13,0.5,0.038461538461538464,0.020000000000003126
59,of,39.34,39.42,2,0.0799999999999983,0.03999999999999915,0.0799999999999983
60,human,39.5,39.86,5,0.35999999999999943,0.07199999999999988,0.0799999999999983
61,physiology,39.94,40.74,10,0.8000000000000043,0.08000000000000043,0.5
62,and,41.24,41.38,3,0.14000000000000057,0.046666666666666856,0.19999999999999574
63,also,41.58,41.92,4,0.3400000000000034,0.08500000000000085,0.05999999999999517
64,in,41.98,42.04,2,0.060000000000002274,0.030000000000001137,0.020000000000003126
65,the,42.06,42.12,3,0.05999999999999517,0.01999999999999839,0.060000000000002274
66,consideration,42.18,42.86,13,0.6799999999999997,0.052307692307692284,0.020000000000003126
67,of,42.88,43.0,2,0.11999999999999744,0.05999999999999872,0.6400000000000006
68,what,43.64,43.8,4,0.1599999999999966,0.03999999999999915,0.04000000000000625
69,makes,43.84,44.06,5,0.21999999999999886,0.043999999999999775,0.01999999999999602
70,us,44.08,44.22,2,0.14000000000000057,0.07000000000000028,0.0799999999999983
71,who,44.3,44.4,3,0.10000000000000142,0.033333333333333805,0.060000000000002274
72,we,44.46,44.52,2,0.060000000000002274,0.030000000000001137,0.0799999999999983
73,are,44.6,44.8,3,0.19999999999999574,0.06666666666666525,1.0200000000000031
74,it's,45.82,45.96,4,0.14000000000000057,0.03500000000000014,0.01999999999999602
75,an,45.98,46.04,2,0.060000000000002274,0.030000000000001137,0.03999999999999915
76,amazing,46.08,46.48,7,0.3999999999999986,0.05714285714285694,0.060000000000002274
77,time,46.54,46.78,4,0.240000000000002,0.0600000000000005,0.03999999999999915
78,to,46.82,46.88,2,0.060000000000002274,0.030000000000001137,0.03999999999999915
79,be,46.92,46.98,2,0.05999999999999517,0.029999999999997584,0.020000000000003126
80,a,47.0,47.04,1,0.03999999999999915,0.03999999999999915,0.060000000000002274
81,brain,47.1,47.34,5,0.240000000000002,0.048000000000000397,0.01999999999999602
82,researcher,47.36,47.86,10,0.5,0.05,0.060000000000002274
83,and,47.92,48.06,3,0.14000000000000057,0.046666666666666856,0.4399999999999977
84,i,48.5,48.56,1,0.060000000000002274,0.060000000000002274,0.05999999999999517
85,would,48.62,48.72,5,0.10000000000000142,0.020000000000000285,0.03999999999999915
86,argue,48.76,49.02,5,0.2600000000000051,0.052000000000001025,0.05999999999999517
87,to,49.08,49.14,2,0.060000000000002274,0.030000000000001137,0.03999999999999915
88,you,49.18,49.26,3,0.0799999999999983,0.0266666666666661,0.060000000000002274
89,that,49.32,49.44,4,0.11999999999999744,0.02999999999999936,0.060000000000002274
90,i,49.5,49.56,1,0.060000000000002274,0.060000000000002274,0.0799999999999983
91,have,49.64,49.74,4,0.10000000000000142,0.025000000000000355,0.03999999999999915
92,the,49.78,49.82,3,0.03999999999999915,0.01333333333333305,0.020000000000003126
93,most,49.84,50.02,4,0.17999999999999972,0.04499999999999993,0.05999999999999517
