,Word,Start,End,time_spent,post_pause,speaker,intensity,length,std_time_spent,amplitude,post_space,time,pitch
0,by,0.16,0.38,0.22,0.06,0,0.0610275095552543,2,0.11,0.6617140502971516,0.06,0.27,188.38375939309012
1,his,0.44,0.54,0.1,0.0399999999999999,0,0.0428818960038442,3,0.03333333333333333,0.42009051459306307,0.039999999999999925,0.49,200.2770527512811
2,luck,0.58,0.84,0.26,0.04,0,0.0579069607673297,4,0.065,0.544019648899089,0.040000000000000036,0.71,223.9870228380199
3,ran,0.88,1.08,0.2,0.0599999999999998,0,0.0515289721845769,3,0.06666666666666667,0.6690321283253143,0.05999999999999983,0.98,198.97011874709509
4,out,1.14,1.4,0.26,0.1400000000000001,0,0.0234718183021405,3,0.08666666666666667,0.4465062087202478,0.14000000000000012,1.27,144.30177444556773
5,that's,1.54,1.82,0.28,0.02,0,0.0353899610672021,6,0.04666666666666667,0.48387305138142406,0.020000000000000018,1.6800000000000002,181.21754399416523
6,the,1.84,1.92,0.0799999999999998,0.04,0,0.0337902250744047,3,0.0266666666666666,0.4781803705198838,0.040000000000000036,1.88,185.82642016872643
7,subject,1.96,2.52,0.56,0.02,0,0.0391812004778892,7,0.08,0.43429400880644564,0.020000000000000018,2.24,182.63244799790326
8,of,2.54,2.62,0.08,0.06,0,0.056400852679125,2,0.04,0.4718989550269517,0.06000000000000005,2.58,170.40475699626128
9,tonight's,2.68,3.1,0.4199999999999999,0.02,0,0.0387299437461616,9,0.046666666666666655,0.47069743489098353,0.020000000000000018,2.89,165.31976164576727
10,water's,3.12,3.48,0.3599999999999999,0.06,0,0.0458405279158104,7,0.051428571428571414,0.5735030465036267,0.06000000000000005,3.3,141.35430533603943
11,words,3.54,4.0,0.4599999999999999,0.4400000000000004,0,0.0244526735697109,5,0.09199999999999998,0.3807413046736522,0.4400000000000004,3.77,125.31893401021696
12,by,4.44,4.58,0.1399999999999996,0.0599999999999996,0,0.0427730302035248,2,0.0699999999999998,0.5824312045876716,0.05999999999999961,4.51,290.212217099335
13,his,4.64,4.74,0.1000000000000005,0.0599999999999996,0,0.0492000865287521,3,0.0333333333333335,0.41742544420264066,0.05999999999999961,4.6899999999999995,223.8108057437416
14,always,4.8,5.02,0.2199999999999997,0.04,0,0.0532844526156816,6,0.03666666666666662,0.5964140083578539,0.040000000000000036,4.91,224.16943047627203
15,been,5.06,5.18,0.1200000000000001,0.0200000000000004,0,0.045072185029068,4,0.030000000000000027,0.5078825436842754,0.020000000000000462,5.119999999999999,225.30474685396578
16,a,5.2,5.24,0.04,0.08,0,0.0556545646823182,1,0.04,0.6902381032629521,0.08000000000000007,5.220000000000001,203.49062045352767
17,lucky,5.32,5.78,0.4599999999999999,0.08,0,0.0447809188708884,5,0.09199999999999998,0.4915006203920732,0.08000000000000007,5.550000000000001,176.42886313850744
18,guy,5.86,6.2,0.3399999999999998,0.08,0,0.0557307985857103,3,0.11333333333333327,0.6399515622486668,0.08000000000000007,6.03,183.07020027040454
19,his,6.28,6.42,0.1399999999999996,0.04,0,0.0548345567649492,3,0.04666666666666653,0.5640466229503757,0.040000000000000036,6.35,177.38816494452692
20,whole,6.46,6.62,0.1600000000000001,0.04,0,0.051688166162054,5,0.032000000000000015,0.6426094494154143,0.040000000000000036,6.54,178.02876142998372
21,political,6.66,7.1,0.4399999999999995,0.04,0,0.0418031763671673,9,0.048888888888888836,0.568210801699249,0.040000000000000036,6.88,177.32231746716795
22,life,7.14,7.48,0.3400000000000007,0.3799999999999999,0,0.0367348986306762,4,0.08500000000000017,0.44206388686476883,0.3799999999999999,7.3100000000000005,169.97653265395695
23,he,7.86,7.94,0.08,0.0599999999999996,0,0.0062885414175435,2,0.04,0.2736070544044944,0.05999999999999961,7.9,
24,wanted,8.0,8.26,0.2599999999999998,0.0600000000000005,0,0.0507168399711647,6,0.0433333333333333,0.6228135721363837,0.0600000000000005,8.129999999999999,188.4722768980339
25,senate,8.32,8.66,0.3399999999999998,0.0399999999999991,0,0.0419586739318123,6,0.056666666666666636,0.5479147548013997,0.03999999999999915,8.49,192.89332169819835
26,seat,8.7,8.92,0.2200000000000006,0.0400000000000009,0,0.0468748269978564,4,0.05500000000000015,0.5196307949344992,0.040000000000000924,8.809999999999999,190.9553060650341
27,because,8.96,9.26,0.2999999999999989,0.0400000000000009,0,0.0368288070436507,7,0.0428571428571427,0.43790065812269274,0.040000000000000924,9.11,192.56153234232127
28,a,9.3,9.34,0.0399999999999991,0.0999999999999996,0,0.0783050779312376,1,0.0399999999999991,0.7152436228132484,0.09999999999999964,9.32,183.2977356066581
29,union,9.44,9.82,0.3800000000000008,0.08,0,0.0539552056002636,5,0.07600000000000015,0.5315470206394431,0.08000000000000007,9.629999999999999,262.76547376851335
30,strike,9.9,10.28,0.379999999999999,0.1000000000000014,0,0.037222350862974,6,0.06333333333333317,0.4749812886359799,0.10000000000000142,10.09,165.82792034374822
31,just,10.38,10.66,0.2799999999999993,0.0999999999999996,0,0.040321844389495,4,0.06999999999999983,0.4640073176970921,0.09999999999999964,10.52,259.65165861849067
32,happened,10.76,11.4,0.6400000000000006,0.4199999999999999,0,0.0292699007220279,8,0.08000000000000007,0.3938437870174563,0.41999999999999993,11.08,179.24749194816866
33,to,11.82,11.9,0.08,0.0600000000000005,0,0.0267254143885744,2,0.04,0.4761237766595437,0.0600000000000005,11.86,222.13330349602316
34,knock,11.96,12.24,0.2799999999999993,0.0600000000000005,0,0.0364330305341072,5,0.05599999999999986,0.5014915391933067,0.0600000000000005,12.100000000000001,173.69297408896122
35,out,12.3,12.48,0.1799999999999997,0.0399999999999991,0,0.0495888269587348,3,0.059999999999999894,0.6509157790719293,0.03999999999999915,12.39,169.74031754519194
36,as,12.52,12.6,0.08,0.0400000000000009,0,0.0427403179696357,2,0.04,0.4842965514359931,0.040000000000000924,12.559999999999999,161.20109159168277
37,opponents,12.64,13.14,0.5,0.08,0,0.0315413190015589,9,0.05555555555555555,0.42024370633879427,0.08000000000000007,12.89,156.88242049578307
38,mailings,13.22,13.68,0.4599999999999991,0.0600000000000005,0,0.0465995805874433,8,0.057499999999999885,0.5555442549626797,0.0600000000000005,13.45,154.1725541149811
39,during,13.74,13.98,0.2400000000000002,0.0199999999999995,0,0.0450935767441199,6,0.040000000000000036,0.5547931810295507,0.019999999999999574,13.86,152.28025038256789
40,the,14.0,14.06,0.0600000000000005,0.0599999999999987,0,0.0445704038451318,3,0.020000000000000167,0.531896356777234,0.05999999999999872,14.030000000000001,166.65872137957848
41,final,14.12,14.46,0.3400000000000016,0.0599999999999987,0,0.0286326444640356,5,0.06800000000000031,0.4648416966007239,0.05999999999999872,14.29,132.18832266479257
42,week,14.52,14.88,0.3600000000000012,0.5999999999999996,0,0.0291131697904856,4,0.0900000000000003,0.3082666105004378,0.5999999999999996,14.7,232.91396140077353
43,then,15.48,15.74,0.2599999999999998,0.1600000000000001,0,0.0456534025869963,4,0.06499999999999995,0.639200814145207,0.16000000000000014,15.61,158.80542502375735
44,obama,15.9,16.34,0.4399999999999995,0.0800000000000018,0,0.043918819580833,5,0.0879999999999999,0.5699386910516041,0.08000000000000185,16.12,175.45296377606755
45,plucked,16.42,16.8,0.379999999999999,0.0199999999999995,0,0.0255355807644809,7,0.054285714285714146,0.3262301305403958,0.019999999999999574,16.61,252.29156445370867
46,him,16.82,16.96,0.1400000000000005,0.0199999999999995,0,0.0502137436540836,3,0.046666666666666835,0.45006007897154154,0.019999999999999574,16.89,243.74039574212824
47,out,16.98,17.16,0.1799999999999997,0.0,0,0.0493922849901679,3,0.059999999999999894,0.6540710958990502,0.0,17.07,220.91284265809676
48,of,17.16,17.24,0.0799999999999983,0.0400000000000027,0,0.0420611375043181,2,0.03999999999999915,0.4085613397231081,0.0400000000000027,17.2,196.78785722883342
49,a,17.28,17.32,0.0399999999999991,0.0799999999999983,0,0.0758670106226084,1,0.0399999999999991,0.6829599618098547,0.0799999999999983,17.3,188.60996338064888
