,Unnamed: 0,Word,Start,End,length,time_spent,std_time_spent,post_space,time,speed
0,0,hi,5.96,6.08,2,0.1200000000000001,0.06,0.08,6.02,16.666666666666654
1,1,everybody,6.16,6.6,9,0.4399999999999995,0.0488888888888888,0.8000000000000007,6.38,20.454545454545478
2,2,on,7.4,7.52,2,0.1199999999999992,0.0599999999999996,0.0200000000000004,7.46,16.666666666666778
3,3,behalf,7.54,7.82,6,0.2800000000000002,0.0466666666666667,0.0199999999999995,7.68,21.428571428571413
4,4,of,7.84,7.92,2,0.08,0.04,0.1199999999999992,7.88,25.0
5,5,all,8.04,8.22,3,0.1800000000000015,0.0600000000000005,0.0199999999999995,8.129999999999999,16.66666666666653
6,6,the,8.24,8.3,3,0.0600000000000005,0.0200000000000001,0.0599999999999987,8.27,49.99999999999959
7,7,obama's,8.36,8.88,7,0.5200000000000014,0.0742857142857144,0.6599999999999984,8.620000000000001,13.461538461538426
8,8,michelle,9.54,10.0,8,0.4600000000000008,0.0575000000000001,0.1400000000000005,9.77,17.391304347826058
9,9,malia,10.14,10.56,5,0.4199999999999999,0.0839999999999999,0.1600000000000001,10.35,11.904761904761909
10,10,sasha,10.72,11.18,5,0.4599999999999991,0.0919999999999998,0.1600000000000001,10.95,10.869565217391326
11,11,bow,11.34,11.68,3,0.3399999999999998,0.1133333333333332,0.3800000000000008,11.51,8.823529411764712
12,12,and,12.06,12.2,3,0.1399999999999988,0.0466666666666662,0.0200000000000013,12.13,21.428571428571612
13,13,the,12.22,12.28,3,0.0599999999999987,0.0199999999999995,0.0400000000000009,12.25,50.00000000000108
14,14,newest,12.32,12.54,6,0.2199999999999988,0.0366666666666664,0.0200000000000013,12.43,27.27272727272742
15,15,member,12.56,12.8,6,0.2400000000000002,0.04,0.0,12.68,24.99999999999998
16,16,of,12.8,12.86,2,0.0599999999999987,0.0299999999999993,0.0400000000000009,12.83,33.33333333333405
17,17,our,12.9,13.0,3,0.0999999999999996,0.0333333333333332,0.0399999999999991,12.95,30.00000000000012
18,18,family,13.04,13.36,6,0.3200000000000003,0.0533333333333333,0.08,13.2,18.749999999999982
19,19,sunny,13.44,13.74,5,0.3000000000000007,0.0600000000000001,0.6600000000000001,13.59,16.66666666666663
20,20,i,14.4,14.48,1,0.08,0.08,0.0599999999999987,14.44,12.5
21,21,want,14.54,14.64,4,0.1000000000000014,0.0250000000000003,0.0,14.59,39.999999999999446
22,22,to,14.64,14.7,2,0.0599999999999987,0.0299999999999993,0.0600000000000005,14.67,33.33333333333405
23,23,wish,14.76,14.98,4,0.2200000000000006,0.0550000000000001,0.0599999999999987,14.87,18.18181818181813
24,24,you,15.04,15.16,3,0.120000000000001,0.0400000000000003,0.1600000000000001,15.1,24.999999999999794
25,25,a,15.32,15.4,1,0.08,0.08,0.1399999999999988,15.36,12.5
26,26,happy,15.54,15.88,5,0.3400000000000016,0.0680000000000003,0.0399999999999991,15.71,14.705882352941108
27,27,and,15.92,15.98,3,0.0600000000000005,0.0200000000000001,0.0599999999999987,15.95,49.99999999999959
28,28,healthy,16.04,16.28,7,0.240000000000002,0.0342857142857145,0.0599999999999987,16.16,29.166666666666426
29,29,thanksgiving,16.34,16.9,12,0.5599999999999987,0.0466666666666665,1.0400000000000027,16.619999999999997,21.428571428571477
30,30,will,17.94,18.06,4,0.1199999999999974,0.0299999999999993,0.0199999999999995,18.0,33.33333333333405
