,Unnamed: 0.1,Unnamed: 0.1.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,amplitude2,time,speed
0,0,0,i,2.79,2.94,100.0,0.15,1,0.15,0.0,0.6912175805890248,0.8089300985157002,2.865,6.666666666666667
1,1,1,met,2.94,3.15,100.0,0.21,3,0.06999999999999999,0.0,0.5539584644731779,0.7332406031617484,3.045,14.285714285714286
2,2,2,a,3.15,3.24,100.0,0.09,1,0.09,0.029999999999999805,0.3409444900059624,0.7338631042648431,3.1950000000000003,11.11111111111111
3,3,3,traveller,3.27,3.72,100.0,0.45,9,0.05,0.029999999999999805,0.13313267336204,0.4786775423185138,3.495,20.0
4,4,4,from,3.75,3.9,100.0,0.15,4,0.0375,0.0,0.1163352531340319,0.5546044548215611,3.825,26.666666666666668
5,5,5,an,3.9,3.99,100.0,0.09,2,0.045,0.0,0.2609887504202892,0.5039370891854448,3.9450000000000003,22.22222222222222
6,6,6,antique,3.99,4.41,100.0,0.42,7,0.06,0.0,0.7551694723768363,0.7047195028157256,4.2,16.666666666666668
7,7,7,land,4.41,4.77,100.0,0.36,4,0.09,0.0,0.6890040990148645,0.7433410033966308,4.59,11.11111111111111
8,8,8,who,4.77,4.95,100.0,0.18,3,0.06,0.0,0.2983037898878285,0.5511489887719465,4.859999999999999,16.666666666666668
9,9,9,said,4.95,5.4,100.0,0.45,4,0.1125,1.08,0.2533294913255778,0.5476824383701103,5.175000000000001,8.88888888888889
10,10,10,two,6.48,6.66,73.7794,0.18,3,0.06,0.0,0.7845469008095365,0.7153184264298437,6.57,16.666666666666668
11,11,11,vast,6.66,7.29,100.0,0.63,4,0.1575,0.17999999999999972,0.1285550728907161,0.4578044383522741,6.975,6.349206349206349
12,12,12,and,7.47,7.62,100.0,0.15,3,0.049999999999999996,0.0,0.5618218424914584,0.541688186727548,7.545,20.0
13,13,13,chocolate,7.62,8.01,51.6642,0.39,9,0.043333333333333335,0.08536100000000069,0.5661720424767142,0.7540832966639905,7.8149999999999995,23.076923076923077
14,14,14,legs,8.095361,8.43,100.0,0.334639,4,0.08365975,0.0,0.572296951873766,0.5892913319702551,8.2626805,11.953179396304673
15,15,15,of,8.43,8.52,100.0,0.09,2,0.045,0.0,0.3642095827602651,0.5521126639312898,8.475,22.22222222222222
16,16,16,stone,8.52,9.06,100.0,0.54,5,0.10800000000000001,0.3899999999999988,0.1072848096377112,0.4908432147282238,8.79,9.25925925925926
17,17,17,stand,9.45,9.96,100.0,0.51,5,0.10200000000000001,0.0,0.5294912618619121,0.6199641368411664,9.705,9.803921568627452
18,18,18,in,9.96,10.05,100.0,0.09,2,0.045,0.0,0.6327604688084574,0.5953670395520354,10.005,22.22222222222222
19,19,19,the,10.05,10.14,100.0,0.09,3,0.03,0.0,0.4348133108099433,0.6239110375501872,10.095,33.333333333333336
20,20,20,desert,10.14,10.56,100.0,0.42,6,0.06999999999999999,0.8699999999999992,0.1247679173790847,0.4819470542684758,10.350000000000001,14.285714285714286
21,21,21,near,11.43,11.67,100.0,0.24,4,0.06,0.0,0.8777436579058182,0.6802998176249884,11.55,16.666666666666668
22,22,22,them,11.67,12.09,100.0,0.42,4,0.105,0.120000000000001,0.5539974098314444,0.6040561222517586,11.879999999999999,9.523809523809524
23,23,23,on,12.21,12.39,100.0,0.18,2,0.09,0.0,0.2567649729915818,0.5269572399113381,12.3,11.11111111111111
24,24,24,the,12.39,12.45,100.0,0.06,3,0.02,0.0,0.0022832412209993,0.4018638221895768,12.42,50.0
25,25,25,sand,12.45,13.02,100.0,0.57,4,0.1425,0.3000000000000007,0.0357463785711144,0.4068964456696874,12.735,7.017543859649123
26,26,26,half,13.32,13.59,100.0,0.27,4,0.0675,0.0,0.7912455569271901,0.78596452180801,13.455,14.814814814814813
27,27,27,sunk,13.59,14.1,100.0,0.51,4,0.1275,0.2699999999999996,0.4241571425871391,0.5906385102340254,13.844999999999999,7.8431372549019605
28,28,28,a,14.37,14.46,100.0,0.09,1,0.09,0.0,0.4094235088333438,0.8806425194966355,14.415,11.11111111111111
29,29,29,shattered,14.46,14.94,100.0,0.48,9,0.05333333333333333,0.0,0.3165344787240083,0.5992211062778978,14.7,18.75
